movieId,userId,rating,original_title
2,15,2.0,Ariel
2,19,3.0,Ariel
2,30,2.0,Ariel
2,32,4.0,Ariel
2,41,3.5,Ariel
2,47,5.0,Ariel
2,48,3.5,Ariel
2,49,5.0,Ariel
2,61,3.5,Ariel
2,68,3.0,Ariel
2,69,3.5,Ariel
2,72,2.5,Ariel
2,73,2.5,Ariel
2,78,3.5,Ariel
2,79,2.5,Ariel
2,80,2.0,Ariel
2,85,5.0,Ariel
2,88,3.5,Ariel
2,92,3.0,Ariel
2,99,2.0,Ariel
2,113,5.0,Ariel
2,115,5.0,Ariel
2,119,3.0,Ariel
2,124,3.0,Ariel
2,126,3.0,Ariel
2,128,4.0,Ariel
2,134,4.5,Ariel
2,150,3.0,Ariel
2,151,4.0,Ariel
2,157,2.5,Ariel
2,161,4.0,Ariel
2,165,3.0,Ariel
2,176,3.0,Ariel
2,177,5.0,Ariel
2,182,5.0,Ariel
2,185,4.0,Ariel
2,187,3.0,Ariel
2,188,4.0,Ariel
2,192,4.0,Ariel
2,200,3.5,Ariel
2,212,3.0,Ariel
2,213,3.0,Ariel
2,218,2.5,Ariel
2,224,4.0,Ariel
2,241,3.0,Ariel
2,253,4.0,Ariel
2,262,2.0,Ariel
2,268,3.5,Ariel
2,279,3.0,Ariel
2,285,3.0,Ariel
2,287,5.0,Ariel
2,288,4.0,Ariel
2,292,3.5,Ariel
2,298,5.0,Ariel
2,306,4.0,Ariel
2,312,2.0,Ariel
2,313,3.0,Ariel
2,324,4.0,Ariel
2,338,3.0,Ariel
2,346,2.0,Ariel
2,353,2.0,Ariel
2,355,3.0,Ariel
2,369,3.0,Ariel
2,382,3.0,Ariel
2,389,4.0,Ariel
2,396,3.0,Ariel
2,418,2.0,Ariel
2,426,3.0,Ariel
2,428,3.0,Ariel
2,440,4.0,Ariel
2,442,4.0,Ariel
2,447,3.0,Ariel
2,466,3.0,Ariel
2,468,2.0,Ariel
2,471,3.0,Ariel
2,473,5.0,Ariel
2,479,4.0,Ariel
2,480,5.0,Ariel
2,487,4.0,Ariel
2,496,4.0,Ariel
2,500,1.5,Ariel
2,506,3.0,Ariel
2,517,5.0,Ariel
2,518,4.0,Ariel
2,522,2.5,Ariel
2,525,2.0,Ariel
2,531,4.0,Ariel
2,534,4.0,Ariel
2,535,3.0,Ariel
2,537,3.0,Ariel
2,548,3.0,Ariel
2,561,3.0,Ariel
2,564,4.0,Ariel
2,575,4.0,Ariel
2,580,3.5,Ariel
2,590,3.0,Ariel
2,593,3.0,Ariel
2,595,2.0,Ariel
2,602,4.0,Ariel
2,603,4.0,Ariel
2,607,3.0,Ariel
2,624,3.0,Ariel
2,641,4.0,Ariel
2,654,3.0,Ariel
2,655,4.0,Ariel
2,662,5.0,Ariel
